timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1.6939E+12,415,CreatePolicy Request,201,,Thread Group 1-38,text,TRUE,,614,364,50,50,http://localhost:8087/createpolicy/64de7233ad581f7a5b51a278,415,0,0
1.6939E+12,875,CreatePolicy Request,201,,Thread Group 1-15,text,TRUE,,614,364,50,50,http://localhost:8087/createpolicy/64de7233ad581f7a5b51a278,875,0,2
1.6939E+12,753,CreatePolicy Request,201,,Thread Group 1-22,text,TRUE,,613,363,48,48,http://localhost:8087/createpolicy/64de7233ad581f7a5b51a278,753,0,4
1.6939E+12,733,CreatePolicy Request,201,,Thread Group 1-23,text,TRUE,,614,364,47,47,http://localhost:8087/createpolicy/64de7233ad581f7a5b51a278,733,0,1
1.6939E+12,575,CreatePolicy Request,201,,Thread Group 1-31,text,TRUE,,614,364,47,47,http://localhost:8087/createpolicy/64de7233ad581f7a5b51a278,575,0,1
1.6939E+12,799,CreatePolicy Request,201,,Thread Group 1-20,text,TRUE,,614,364,45,45,http://localhost:8087/createpolicy/64de7233ad581f7a5b51a278,798,0,1
1.6939E+12,422,CreatePolicy Request,201,,Thread Group 1-39,text,TRUE,,614,364,44,44,http://localhost:8087/createpolicy/64de7233ad581f7a5b51a278,422,0,1
1.6939E+12,463,CreatePolicy Request,201,,Thread Group 1-37,text,TRUE,,614,364,43,43,http://localhost:8087/createpolicy/64de7233ad581f7a5b51a278,463,0,1
1.6939E+12,1027,CreatePolicy Request,201,,Thread Group 1-9,text,TRUE,,614,364,42,42,http://localhost:8087/createpolicy/64de7233ad581f7a5b51a278,1027,0,1
1.6939E+12,710,CreatePolicy Request,201,,Thread Group 1-25,text,TRUE,,614,364,41,41,http://localhost:8087/createpolicy/64de7233ad581f7a5b51a278,710,0,1
1.6939E+12,891,CreatePolicy Request,201,,Thread Group 1-16,text,TRUE,,614,364,41,41,http://localhost:8087/createpolicy/64de7233ad581f7a5b51a278,891,0,1
1.6939E+12,691,CreatePolicy Request,201,,Thread Group 1-26,text,TRUE,,614,364,41,41,http://localhost:8087/createpolicy/64de7233ad581f7a5b51a278,691,0,1
1.6939E+12,1186,CreatePolicy Request,201,,Thread Group 1-2,text,TRUE,,614,364,38,38,http://localhost:8087/createpolicy/64de7233ad581f7a5b51a278,1185,0,1
1.6939E+12,973,CreatePolicy Request,201,,Thread Group 1-13,text,TRUE,,614,364,37,37,http://localhost:8087/createpolicy/64de7233ad581f7a5b51a278,973,0,1
1.6939E+12,1166,CreatePolicy Request,201,,Thread Group 1-4,text,TRUE,,614,364,36,36,http://localhost:8087/createpolicy/64de7233ad581f7a5b51a278,1166,0,1
1.6939E+12,945,CreatePolicy Request,201,,Thread Group 1-17,text,TRUE,,613,363,35,35,http://localhost:8087/createpolicy/64de7233ad581f7a5b51a278,945,0,1
1.6939E+12,368,CreatePolicy Request,201,,Thread Group 1-46,text,TRUE,,614,364,35,35,http://localhost:8087/createpolicy/64de7233ad581f7a5b51a278,368,0,1
1.6939E+12,925,CreatePolicy Request,201,,Thread Group 1-18,text,TRUE,,614,364,34,34,http://localhost:8087/createpolicy/64de7233ad581f7a5b51a278,925,0,1
1.6939E+12,1303,CreatePolicy Request,201,,Thread Group 1-1,text,TRUE,,614,364,32,32,http://localhost:8087/createpolicy/64de7233ad581f7a5b51a278,1303,0,2
1.6939E+12,463,CreatePolicy Request,201,,Thread Group 1-43,text,TRUE,,614,364,31,31,http://localhost:8087/createpolicy/64de7233ad581f7a5b51a278,463,0,1
1.6939E+12,1106,CreatePolicy Request,201,,Thread Group 1-11,text,TRUE,,614,364,30,30,http://localhost:8087/createpolicy/64de7233ad581f7a5b51a278,1106,0,1
1.6939E+12,521,CreatePolicy Request,201,,Thread Group 1-44,text,TRUE,,614,364,29,29,http://localhost:8087/createpolicy/64de7233ad581f7a5b51a278,521,0,1
1.6939E+12,1303,CreatePolicy Request,201,,Thread Group 1-5,text,TRUE,,612,362,28,28,http://localhost:8087/createpolicy/64de7233ad581f7a5b51a278,1303,0,1
1.6939E+12,434,CreatePolicy Request,201,,Thread Group 1-50,text,TRUE,,614,364,27,27,http://localhost:8087/createpolicy/64de7233ad581f7a5b51a278,434,0,2
1.6939E+12,715,CreatePolicy Request,201,,Thread Group 1-36,text,TRUE,,614,364,26,26,http://localhost:8087/createpolicy/64de7233ad581f7a5b51a278,715,0,1
1.6939E+12,614,CreatePolicy Request,201,,Thread Group 1-41,text,TRUE,,614,364,26,26,http://localhost:8087/createpolicy/64de7233ad581f7a5b51a278,614,0,0
1.6939E+12,1317,CreatePolicy Request,201,,Thread Group 1-6,text,TRUE,,614,364,24,24,http://localhost:8087/createpolicy/64de7233ad581f7a5b51a278,1317,0,2
