timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1.69282E+12,48,HTTP Post Request,201,,Thread Group 1-1,text,TRUE,,573,380,4,4,http://localhost:8081/register,48,0,4
1.69282E+12,212,HTTP Get Request,200,,Thread Group 1-1,text,TRUE,,11971,125,26,30,http://localhost:8090/customers,212,0,2
1.69282E+12,173,HTTP Post Request,201,,Thread Group 1-14,text,TRUE,,573,380,30,36,http://localhost:8081/register,173,0,1
1.69282E+12,255,HTTP Post Request,201,,Thread Group 1-6,text,TRUE,,573,380,30,36,http://localhost:8081/register,254,0,2
1.69282E+12,134,HTTP Post Request,201,,Thread Group 1-17,text,TRUE,,573,380,30,36,http://localhost:8081/register,133,0,2
1.69282E+12,271,HTTP Post Request,201,,Thread Group 1-4,text,TRUE,,573,380,30,36,http://localhost:8081/register,271,0,2
1.69282E+12,259,HTTP Post Request,201,,Thread Group 1-5,text,TRUE,,573,380,30,36,http://localhost:8081/register,257,0,1
1.69282E+12,164,HTTP Post Request,201,,Thread Group 1-15,text,TRUE,,573,380,30,36,http://localhost:8081/register,164,0,2
1.69282E+12,246,HTTP Post Request,201,,Thread Group 1-11,text,TRUE,,573,380,33,39,http://localhost:8081/register,246,0,2
1.69282E+12,271,HTTP Post Request,201,,Thread Group 1-10,text,TRUE,,573,380,35,41,http://localhost:8081/register,271,0,2
1.69282E+12,352,HTTP Post Request,201,,Thread Group 1-3,text,TRUE,,573,380,36,44,http://localhost:8081/register,351,0,2
1.69282E+12,316,HTTP Post Request,201,,Thread Group 1-8,text,TRUE,,573,380,37,46,http://localhost:8081/register,316,0,2
1.69282E+12,298,HTTP Post Request,201,,Thread Group 1-9,text,TRUE,,573,380,38,47,http://localhost:8081/register,298,0,2
1.69282E+12,366,HTTP Get Request,200,,Thread Group 1-17,text,TRUE,,11971,125,66,76,http://localhost:8090/customers,365,0,1
1.69282E+12,366,HTTP Get Request,200,,Thread Group 1-5,text,TRUE,,11971,125,66,76,http://localhost:8090/customers,365,0,1
1.69282E+12,370,HTTP Get Request,200,,Thread Group 1-14,text,TRUE,,11971,125,64,74,http://localhost:8090/customers,368,0,1
1.69282E+12,373,HTTP Get Request,200,,Thread Group 1-4,text,TRUE,,11971,125,63,75,http://localhost:8090/customers,372,0,1
1.69282E+12,381,HTTP Get Request,200,,Thread Group 1-15,text,TRUE,,11971,125,65,76,http://localhost:8090/customers,377,0,1
1.69282E+12,493,HTTP Post Request,201,,Thread Group 1-24,text,TRUE,,573,380,67,78,http://localhost:8081/register,493,0,2
1.69282E+12,526,HTTP Post Request,201,,Thread Group 1-21,text,TRUE,,573,380,67,78,http://localhost:8081/register,526,0,2
1.69282E+12,423,HTTP Post Request,201,,Thread Group 1-31,text,TRUE,,573,380,67,78,http://localhost:8081/register,423,0,1
1.69282E+12,523,HTTP Post Request,201,,Thread Group 1-22,text,TRUE,,573,380,67,78,http://localhost:8081/register,523,0,2
1.69282E+12,452,HTTP Post Request,201,,Thread Group 1-29,text,TRUE,,573,380,67,78,http://localhost:8081/register,451,0,2
