timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1693755108221,210,HTTP Request,200,,Thread Group 1-1,text,true,,261614,132,22,22,http://localhost:8077/getcustomersgrpc,196,0,1
1693755108234,246,HTTP Request,200,,Thread Group 1-2,text,true,,261614,132,25,25,http://localhost:8077/getcustomersgrpc,234,0,3
1693755108242,242,HTTP Request,200,,Thread Group 1-3,text,true,,261614,132,25,25,http://localhost:8077/getcustomersgrpc,233,0,2
1693755108252,312,HTTP Request,200,,Thread Group 1-4,text,true,,261614,132,32,32,http://localhost:8077/getcustomersgrpc,296,0,2
1693755108262,317,HTTP Request,200,,Thread Group 1-5,text,true,,261614,132,32,32,http://localhost:8077/getcustomersgrpc,310,0,1
1693755108271,340,HTTP Request,200,,Thread Group 1-6,text,true,,261614,132,35,35,http://localhost:8077/getcustomersgrpc,332,0,3
1693755108281,481,HTTP Request,200,,Thread Group 1-7,text,true,,261614,132,49,49,http://localhost:8077/getcustomersgrpc,469,0,3
1693755108292,494,HTTP Request,200,,Thread Group 1-8,text,true,,261614,132,50,50,http://localhost:8077/getcustomersgrpc,487,0,2
1693755108322,648,HTTP Request,200,,Thread Group 1-11,text,true,,261614,132,67,67,http://localhost:8077/getcustomersgrpc,640,0,3
1693755108302,712,HTTP Request,200,,Thread Group 1-9,text,true,,261614,132,71,71,http://localhost:8077/getcustomersgrpc,703,0,2
1693755108311,704,HTTP Request,200,,Thread Group 1-10,text,true,,261614,132,71,71,http://localhost:8077/getcustomersgrpc,690,0,2
1693755108332,749,HTTP Request,200,,Thread Group 1-12,text,true,,261614,132,76,76,http://localhost:8077/getcustomersgrpc,740,0,3
1693755108351,842,HTTP Request,200,,Thread Group 1-14,text,true,,261614,132,86,86,http://localhost:8077/getcustomersgrpc,834,0,3
1693755108362,926,HTTP Request,200,,Thread Group 1-15,text,true,,261614,132,87,87,http://localhost:8077/getcustomersgrpc,920,0,3
1693755108382,906,HTTP Request,200,,Thread Group 1-17,text,true,,261614,132,87,87,http://localhost:8077/getcustomersgrpc,900,0,2
1693755108392,923,HTTP Request,200,,Thread Group 1-18,text,true,,261614,132,85,85,http://localhost:8077/getcustomersgrpc,916,0,1
1693755108342,1002,HTTP Request,200,,Thread Group 1-13,text,true,,261614,132,84,84,http://localhost:8077/getcustomersgrpc,997,0,3
1693755108371,994,HTTP Request,200,,Thread Group 1-16,text,true,,261614,132,83,83,http://localhost:8077/getcustomersgrpc,990,0,3
1693755108402,977,HTTP Request,200,,Thread Group 1-19,text,true,,261614,132,82,82,http://localhost:8077/getcustomersgrpc,970,0,2
1693755108463,981,HTTP Request,200,,Thread Group 1-25,text,true,,261614,132,81,81,http://localhost:8077/getcustomersgrpc,975,0,1
1693755108442,1010,HTTP Request,200,,Thread Group 1-23,text,true,,261614,132,80,80,http://localhost:8077/getcustomersgrpc,1005,0,2
1693755108412,1045,HTTP Request,200,,Thread Group 1-20,text,true,,261614,132,79,79,http://localhost:8077/getcustomersgrpc,1040,0,2
1693755108432,1034,HTTP Request,200,,Thread Group 1-22,text,true,,261614,132,78,78,http://localhost:8077/getcustomersgrpc,1028,0,7
1693755108471,1005,HTTP Request,200,,Thread Group 1-26,text,true,,261614,132,77,77,http://localhost:8077/getcustomersgrpc,1000,0,1
1693755108423,1068,HTTP Request,200,,Thread Group 1-21,text,true,,261614,132,76,76,http://localhost:8077/getcustomersgrpc,1065,0,1
1693755108482,1057,HTTP Request,200,,Thread Group 1-27,text,true,,261614,132,75,75,http://localhost:8077/getcustomersgrpc,1051,0,3
1693755108493,1071,HTTP Request,200,,Thread Group 1-28,text,true,,261614,132,74,74,http://localhost:8077/getcustomersgrpc,1065,0,1
1693755108451,1145,HTTP Request,200,,Thread Group 1-24,text,true,,261614,132,73,73,http://localhost:8077/getcustomersgrpc,1141,0,1
1693755108512,1103,HTTP Request,200,,Thread Group 1-30,text,true,,261614,132,72,72,http://localhost:8077/getcustomersgrpc,1099,0,2
