timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1.69383E+12,512,HTTP Post Request,201,,Thread Group 1-6,text,TRUE,,565,380,43,43,http://localhost:8081/register,488,0,149
1.69383E+12,523,HTTP Post Request,201,,Thread Group 1-1,text,TRUE,,565,380,43,43,http://localhost:8081/register,499,0,160
1.69383E+12,512,HTTP Post Request,201,,Thread Group 1-11,text,TRUE,,565,380,43,43,http://localhost:8081/register,488,0,152
1.69383E+12,305,HTTP Post Request,201,,Thread Group 1-28,text,TRUE,,565,380,43,43,http://localhost:8081/register,291,0,2
1.69383E+12,483,HTTP Post Request,201,,Thread Group 1-19,text,TRUE,,565,380,43,43,http://localhost:8081/register,459,0,122
1.69383E+12,467,HTTP Post Request,201,,Thread Group 1-20,text,TRUE,,565,380,43,43,http://localhost:8081/register,453,0,104
1.69383E+12,523,HTTP Post Request,201,,Thread Group 1-15,text,TRUE,,565,380,43,43,http://localhost:8081/register,522,0,160
1.69383E+12,546,HTTP Post Request,201,,Thread Group 1-13,text,TRUE,,565,380,37,37,http://localhost:8081/register,545,0,160
1.69383E+12,547,HTTP Post Request,201,,Thread Group 1-4,text,TRUE,,565,380,36,36,http://localhost:8081/register,547,0,163
1.69383E+12,536,HTTP Post Request,201,,Thread Group 1-3,text,TRUE,,565,380,36,36,http://localhost:8081/register,536,0,150
1.69383E+12,573,HTTP Post Request,201,,Thread Group 1-18,text,TRUE,,565,380,36,36,http://localhost:8081/register,573,0,145
1.69383E+12,434,HTTP Post Request,201,,Thread Group 1-25,text,TRUE,,565,380,36,36,http://localhost:8081/register,433,0,2
1.69383E+12,585,HTTP Post Request,201,,Thread Group 1-7,text,TRUE,,565,380,34,34,http://localhost:8081/register,584,0,149
1.69383E+12,527,HTTP Post Request,201,,Thread Group 1-21,text,TRUE,,565,380,34,34,http://localhost:8081/register,527,0,83
1.69383E+12,605,HTTP Post Request,201,,Thread Group 1-9,text,TRUE,,565,380,34,34,http://localhost:8081/register,604,0,148
1.69383E+12,618,HTTP Post Request,201,,Thread Group 1-8,text,TRUE,,565,380,34,34,http://localhost:8081/register,618,0,161
1.69383E+12,576,HTTP Post Request,201,,Thread Group 1-22,text,TRUE,,565,380,34,34,http://localhost:8081/register,576,0,64
